
6,Neha,27,Chennai,52000
7,Rohan,30,Kolkata,75000
8,Saanvi,26,Ahmedabad,50000
9,Aditya,33,Jaipur,69000
10,Kiara,25,Chandigarh,47000
11,Isha,30,Bangalore,69587
12,Isha,28,Bangalore,39107
13,Rohan,24,Pune,53314
14,Meera,32,Chennai,49519
15,Rohan,31,Ahmedabad,55418
16,Neha,25,Chennai,59213
17,Meera,22,Kolkata,33475
18,Rohan,22,Mumbai,73531
19,Saanvi,30,Pune,76420
20,Meera,28,Chandigarh,36792
21,Aarav,24,Chandigarh,35525
22,Aarav,32,Hyderabad,66875
23,Neha,33,Chennai,41410
24,Rohan,26,Chennai,65604
25,Rohan,27,Chandigarh,37556
26,Aditya,28,Bangalore,73744
27,Neha,21,Pune,78997
28,Isha,25,Mumbai,32410
29,Saanvi,33,Ahmedabad,60366
30,Isha,21,Mumbai,36464
31,Kiara,33,Mumbai,69676
32,Saanvi,34,Chandigarh,41387
33,Aditya,26,Hyderabad,69846
34,Kabir,24,Ahmedabad,60522
35,Arjun,33,Kolkata,42145
36,Aarav,25,Pune,48263
37,Isha,25,Mumbai,35317
38,Kiara,21,Mumbai,40083
39,Isha,33,Mumbai,66932
40,Rohan,34,Mumbai,69479
41,Aarav,29,Hyderabad,39775
42,Aarav,25,Delhi,59234
43,Kabir,23,Bangalore,52925
44,Aditya,31,Kolkata,60030
45,Arjun,29,Chandigarh,66082
46,Kabir,27,Bangalore,63355
47,Kiara,32,Ahmedabad,74031
48,Saanvi,23,Pune,67871
49,Aditya,31,Delhi,53675
50,Kiara,30,Jaipur,62238
51,Isha,21,Chandigarh,56040
52,Aditya,31,Mumbai,71475
53,Isha,29,Kolkata,55353
54,Arjun,29,Delhi,35904
55,Kiara,30,Ahmedabad,44442
56,Rohan,20,Ahmedabad,79506
57,Arjun,24,Ahmedabad,46018
58,Kiara,24,Pune,50075
59,Kabir,30,Chandigarh,49365
60,Aarav,24,Hyderabad,60530
61,Kiara,20,Kolkata,44325
62,Kabir,30,Mumbai,38538
63,Saanvi,31,Chennai,30692
64,Kabir,31,Hyderabad,58668
65,Aditya,24,Hyderabad,78720
66,Kabir,31,Hyderabad,79334
67,Neha,26,Bangalore,30735
68,Aarav,24,Jaipur,45938
69,Kiara,27,Ahmedabad,79016
70,Saanvi,21,Jaipur,46932
71,Isha,27,Chandigarh,56422
72,Kabir,29,Chandigarh,62915
73,Aarav,25,Jaipur,55817
74,Saanvi,26,Hyderabad,65479
75,Kabir,26,Delhi,66765
76,Isha,33,Chennai,74193
77,Kiara,21,Chandigarh,40013
78,Neha,23,Bangalore,73901
79,Aditya,31,Chennai,39996
80,Kabir,26,Pune,36542
81,Kiara,25,Jaipur,67938
82,Kabir,27,Delhi,58405
83,Neha,26,Delhi,40655
84,Arjun,21,Delhi,51571
85,Arjun,23,Jaipur,55067
86,Arjun,22,Jaipur,47690
87,Neha,33,Delhi,48142
88,Isha,30,Ahmedabad,61115
89,Arjun,28,Chennai,34985
90,Saanvi,20,Chennai,75577
91,Neha,29,Mumbai,55459
92,Kiara,25,Jaipur,30752
93,Meera,21,Jaipur,41171
94,Aarav,24,Mumbai,40200
95,Isha,24,Bangalore,55675
96,Meera,26,Jaipur,61787
97,Meera,23,Chandigarh,48840
98,Aditya,25,Mumbai,77607
99,Rohan,21,Chennai,78592
100,Arjun,23,Kolkata,68694
101,Kiara,24,Bangalore,74210
102,Meera,34,Chandigarh,72598
103,Aarav,32,Bangalore,79148
104,Rohan,24,Chennai,62686
105,Saanvi,21,Mumbai,59400
106,Arjun,21,Jaipur,52332
107,Isha,21,Kolkata,79414
108,Aditya,26,Chandigarh,49268
109,Meera,30,Chandigarh,70639
110,Aditya,24,Delhi,31637
111,Kiara,25,Mumbai,61012
112,Neha,28,Mumbai,51107
113,Neha,31,Jaipur,65371
114,Kabir,30,Hyderabad,60813
115,Aarav,27,Pune,74909
116,Rohan,33,Kolkata,55608
117,Kabir,27,Pune,51123
118,Neha,29,Kolkata,49483
119,Aditya,28,Chennai,63773
120,Kiara,25,Chandigarh,56404
121,Isha,25,Chennai,39667
122,Neha,30,Kolkata,77380
123,Neha,23,Chandigarh,78298
124,Arjun,28,Kolkata,51114
125,Neha,24,Bangalore,52416
126,Saanvi,26,Jaipur,43082
127,Kiara,33,Hyderabad,56408
128,Kabir,34,Chandigarh,63779
129,Isha,26,Delhi,66360
130,Arjun,30,Kolkata,55175
131,Meera,32,Delhi,42855
132,Rohan,25,Kolkata,51053
133,Kabir,29,Ahmedabad,62067
134,Aarav,23,Ahmedabad,64211
135,Saanvi,23,Ahmedabad,57434
136,Isha,30,Kolkata,62175
137,Kiara,26,Pune,34064
138,Kabir,32,Chandigarh,34534
139,Saanvi,22,Ahmedabad,50905
140,Aarav,31,Jaipur,69239
141,Rohan,20,Chennai,47717
142,Arjun,26,Bangalore,49348
143,Meera,28,Chandigarh,65044
144,Kiara,34,Jaipur,57200
145,Aditya,20,Mumbai,69587
146,Isha,34,Ahmedabad,43131
147,Aditya,26,Chandigarh,31823
148,Rohan,25,Mumbai,72250
149,Neha,31,Chandigarh,63973
150,Kabir,20,Delhi,70336
151,Arjun,32,Bangalore,31239
152,Rohan,31,Chandigarh,56980
153,Arjun,22,Jaipur,72030
154,Aarav,31,Chandigarh,70211
155,Kabir,27,Mumbai,32433
156,Saanvi,20,Ahmedabad,71174
157,Saanvi,23,Jaipur,39029
158,Rohan,24,Hyderabad,61293
159,Aarav,23,Mumbai,33325
160,Saanvi,29,Chennai,34147
161,Aarav,22,Jaipur,57684
162,Isha,25,Ahmedabad,64836
163,Rohan,26,Pune,47948
164,Kabir,23,Hyderabad,56005
165,Arjun,27,Delhi,49319
166,Kiara,22,Ahmedabad,30938
167,Isha,26,Mumbai,62795
168,Rohan,29,Bangalore,47182
169,Meera,22,Kolkata,72427
170,Rohan,32,Ahmedabad,33559
171,Rohan,22,Pune,31695
172,Isha,30,Hyderabad,49617
173,Meera,27,Jaipur,66837
174,Arjun,33,Chennai,78471
175,Arjun,34,Mumbai,63068
176,Kabir,30,Chandigarh,54773
177,Aarav,29,Delhi,79815
178,Kiara,28,Chandigarh,46270
179,Aditya,21,Jaipur,76181
180,Aditya,22,Jaipur,54334
181,Kiara,20,Delhi,56522
182,Arjun,23,Delhi,53425
183,Arjun,32,Ahmedabad,58281
184,Aarav,28,Chandigarh,45937
185,Saanvi,27,Kolkata,73790
186,Aditya,23,Kolkata,70948
187,Isha,29,Mumbai,41539
188,Meera,28,Chandigarh,76999
189,Kiara,31,Ahmedabad,45657
190,Saanvi,31,Hyderabad,66468
191,Rohan,24,Jaipur,43285
192,Arjun,32,Delhi,30510
193,Aditya,33,Kolkata,57363
194,Aditya,28,Ahmedabad,49111
195,Meera,26,Pune,72069
196,Saanvi,23,Mumbai,41684
197,Neha,20,Kolkata,79431
198,Kabir,29,Pune,55439
199,Meera,29,Chennai,40316
200,Neha,32,Hyderabad,71935
201,Aditya,30,Delhi,52053
202,Kabir,20,Chandigarh,51138
203,Kabir,32,Kolkata,30378
204,Kiara,32,Ahmedabad,38275
205,Isha,22,Chennai,69359
206,Isha,34,Kolkata,43080
207,Meera,28,Chandigarh,76009
208,Isha,29,Delhi,41290
209,Aditya,30,Mumbai,47951
210,Neha,20,Chennai,77858
211,Aarav,34,Chennai,67922
212,Aditya,29,Mumbai,37907
213,Rohan,29,Chennai,55390
214,Saanvi,29,Jaipur,68732
215,Aditya,25,Jaipur,31214
216,Arjun,24,Mumbai,55168
217,Kabir,21,Delhi,51618
218,Kabir,21,Hyderabad,64906
219,Kiara,22,Delhi,75304
220,Kabir,34,Chennai,34596
221,Isha,23,Ahmedabad,74603
222,Arjun,26,Chandigarh,76266
223,Kabir,20,Kolkata,67816
224,Aditya,28,Pune,56432
225,Aarav,24,Jaipur,58877
226,Meera,28,Kolkata,71665
227,Rohan,27,Kolkata,63408
228,Neha,29,Chennai,53276
229,Meera,31,Hyderabad,74682
230,Kiara,34,Bangalore,56642
231,Saanvi,23,Mumbai,34959
232,Aditya,22,Hyderabad,66513
233,Saanvi,20,Bangalore,73167
234,Kabir,20,Chennai,78821
235,Neha,22,Bangalore,62176
236,Rohan,30,Mumbai,79052
